Otto introduces you to the newcomer, "Frank, this is Mr. %m15. He's going to join us for a few hands. Mr. Banksten, meet Frank."	Otto 向你介紹新來者：「Frank，這位是 %m15 先生。他要和我們玩幾手。Banksten 先生，認識一下 Frank。」
"I'm Otto, and to your left is Gene."	「我是 Otto，你左邊的是 Gene。」
"Pleased to meet you, Mr. Banksten," says the newcomer.	新來者說：「很高興認識你，Banksten 先生。」
"Shall we play?" you ask.	你問：「我們開始嗎？」
You take your position at the table.	你在桌旁就座。
Mr. Banksten	Banksten 先生
It's already open.	它已經開了。
Don't leave now!	現在別離開！
"%m1, we've got a chair open for you."	「%m1，我們有個空位給你。」
"Hello, %m1. Have a seat. Welcome to our friendly little poker game."	「你好，%m1。請坐。歡迎參加我們友善的小牌局。」
If you sit here, you'll miss the chair and hit the floor.	如果你坐這裡，會坐不到椅子而摔到地板上。
Frank welcomes you back to the game...	Frank 歡迎你回到牌局……
"Hello again, %m1. I believe you know everyone here."	「再次你好，%m1。我想你認識這裡的每個人。」
This time, you look carefully at Frank as he shuffles the cards. Cold chills race down your spine and a blast of adrenalin surges through your body as you realize he exactly matches the description of Jessie Bains!	這次 Frank 洗牌時，你仔細看著他。當你發現他完全符合 Jessie Bains 的描述，寒意竄過脊椎，腎上腺素猛然湧遍全身！
"The Death Angel!"	「死亡天使！」
You are 	你目前
%m11sitting.	%m11坐著。
%m11standing.	%m11站著。
"Well, %m1," says Frank. "You're a poker player after my own heart!"	Frank 說：「%m1，你真是我心目中的牌手！」
Frank then asks, "Whitey (if I may call you that), I understand you may be looking for work?"	Frank 接著問：「Whitey（如果我可以這樣叫你），我聽說你可能在找工作？」
"Very good! I like your style."	「很好！我喜歡你的風格。」
"A simple 'yes' or 'no' would suffice, Whitey!"	「簡單回答『是』或『不是』就好，Whitey！」
"How would you like to join me in my suite for a drink, Whitey?" asks Frank. "I've a business proposition to discuss with you."	Frank 問：「Whitey，要不要到我的套房和我喝一杯？我有個生意提案想和你談。」
"Well, %m1? 	「那麼，%m1？
"Great! Follow me."	「很好！跟我來。」
%m20Are you interested?	%m20你有興趣嗎？
%m20What do ya say?	%m20你覺得如何？
%m20Let's go, shall we?	%m20我們走吧，好嗎？
Well, you blew that one!	好吧，你搞砸了！
Your undercover assignment has quickly ended, and now you're locked in a room with these guys!	你的臥底任務很快結束，現在你和這些傢伙一起被鎖在房間裡！
Better luck next time.	下次祝你好運。
Three men are seated around a lone card table in the middle of the room.	三個男人坐在房間中央唯一的牌桌旁。
A single, shaded light hangs over the table.	一盞有燈罩的燈懸在桌上方。
The floor is bare.	地板是裸露的。
, %m1!" says Frank. "Consider our relationship terminated."	，%m1！」Frank 說：「我們的關係到此結束。」
"Hello, Mr. Banksten. Come on over and have a seat."	「你好，Banksten 先生。過來坐吧。」
You sneak a glance under the table, but see nothing unusual.	你偷偷瞄向桌下，但沒看見異常。
If you do that now, you may not remember anything for the rest of your life.	如果你現在那樣做，可能一輩子都不會再記得任何事。
The game is over; greater things await you elsewhere.	牌局結束了；外面還有更重要的事等著你。
"I have no respect for someone who plays poker as badly as you%m31	「我不尊重像你一樣把撲克打得這麼差的人%m31
"I have no respect for quiters%m31	「我不尊重半途而廢的人%m31
Carefully, you admonish your suspect of his "Miranda" rights.	你小心地向嫌犯宣讀「米蘭達」權利。
"You have the right to remain silent."	「你有保持沉默的權利。」
"What you say may be used against you in a court of law."	「你所說的話可能在法庭上對你不利。」
"You have the right to an attorney."	「你有聘請律師的權利。」
"If you cannot afford an attorney, one will be appointed to represent you before questioning, if you wish."	「如果你無力聘請律師，在盤問前可以依你的意願由法院指派律師代表你。」
Due to your failure to admonish your suspect to his constitutional right to remain silent, the information you just obtained will be inadmissible as evidence, and will be drop-kicked by the Honorable Judge Palmer across the Clearwater River.	由於你未向嫌犯宣讀憲法保障的沉默權，剛取得的資訊將不得作為證據，並會被尊敬的 Palmer 法官一腳踢過 Clearwater 河。
"That sounds like a good idea, Honey!" says Sweet Cheeks Marie, "but I thought we were on duty!"	Sweet Cheeks Marie 說：「聽起來是個好主意，親愛的！但我以為我們正在值勤！」
Sweet Cheeks is, hmmmm, an intensely good-looking female-type unit. As you ogle her shapely figure, your imagination numbs your conscious mind, sending you into a lecherous dream world.	Sweet Cheeks 是一個，嗯，非常漂亮的女性。你盯著她玲瓏的身材，想像力麻痺了意識，把你送進好色的夢境。
