English	繁中（台灣）
Police Quest	警察故事
In Pursuit of the Death Angel	追捕死亡天使
the Death Angel	死亡天使
Sonny Bonds	Sonny Bonds
Sgt. Dooley	Dooley 警佐
Lt. Morgan	Morgan 中尉
Laura Watts	Laura Watts
Jessie Bains	Jessie Bains
Sweet Cheeks Marie	Sweet Cheeks Marie
Lytton	Lytton
Lytton PD	Lytton 警局
Blue Room	Blue Room
Cotton Cove	Cotton Cove
police officer	警察
Officer	警員
Detective	警探
Sergeant	警佐
Lieutenant	中尉
patrol	巡邏
traffic stop	交通攔查
citation	罰單
evidence	證物
suspect	嫌犯
arrest	逮捕
dispatch	調度
Miranda rights	米蘭達權利
PR-24	PR-24 警棍
narcotics	緝毒組
homicide	命案
informant	線人
